"Posted in", "Đăng trong"
"Posted", "Đăng"
"by", "bởi"
"Bookmark with", "Đánh dấu với"
"No Posts in this Category.", "Không có bài đăng nào"
"Recent Posts", "Tin gần đây"
"Categories", "Các danh mục"
"Comments", "Các bình luận"
"Post Comments", "Bình luận của bài viết"
"Comments are Closed for this post", "Bình luận đã bị khóa"
"Submit Comment", "Gửi bình luận"
"Comment", "Bình luận"
"click here", "ấn vào đây"
"to log in", "để đăng nhập"
"Name", "Tên"
"Latest Posts", "Tin mới nhất"
"Read More", "Đọc tiếp"
